timestamp,event,info
2026-01-19T13:40:04.499182,face_not_detected,
2026-01-19T13:40:05.030131,face_not_detected,
2026-01-19T13:40:05.530384,face_not_detected,
2026-01-19T13:40:06.063781,face_not_detected,
2026-01-19T13:40:06.563919,face_not_detected,
2026-01-19T13:40:07.064539,face_not_detected,
2026-01-19T13:40:07.596529,face_not_detected,
2026-01-19T13:40:08.097023,face_not_detected,
2026-01-19T13:40:08.629920,face_not_detected,
2026-01-19T13:40:09.130573,face_not_detected,
2026-01-19T13:40:09.630611,face_not_detected,
2026-01-19T13:40:10.162855,face_not_detected,
2026-01-19T13:40:10.695737,face_not_detected,
2026-01-19T13:40:11.229132,face_not_detected,
2026-01-19T13:40:11.729334,face_not_detected,
2026-01-19T13:40:12.261752,face_not_detected,
2026-01-19T13:40:12.795061,face_not_detected,
2026-01-19T13:40:13.328671,face_not_detected,
2026-01-19T13:40:13.829060,face_not_detected,
2026-01-19T13:40:14.362075,face_not_detected,
2026-01-19T13:40:14.894186,face_not_detected,
2026-01-19T13:40:15.394603,face_not_detected,
2026-01-19T13:40:15.928119,face_not_detected,
2026-01-19T13:40:16.460011,face_not_detected,
2026-01-19T13:40:16.992821,face_not_detected,
2026-01-19T13:40:17.493442,face_not_detected,
2026-01-19T13:40:17.993388,face_not_detected,
2026-01-19T13:40:18.525480,face_not_detected,
2026-01-19T13:40:19.059024,face_not_detected,
2026-01-19T13:40:19.592019,face_not_detected,
2026-01-19T13:40:20.092596,face_not_detected,
2026-01-19T13:40:20.592670,face_not_detected,
2026-01-19T13:40:21.124743,face_not_detected,
2026-01-19T13:40:21.657838,face_not_detected,
2026-01-19T13:40:22.190561,face_not_detected,
2026-01-19T13:40:22.691292,face_not_detected,
2026-01-19T13:40:23.223057,face_not_detected,
2026-01-19T13:40:23.755877,face_not_detected,
2026-01-19T13:40:24.256421,face_not_detected,
2026-01-19T13:40:24.790234,face_not_detected,
2026-01-19T13:40:25.322130,face_not_detected,
2026-01-19T13:40:25.822667,face_not_detected,
2026-01-19T13:40:26.355684,face_not_detected,
2026-01-19T13:40:26.856511,face_not_detected,
2026-01-19T13:40:27.356553,face_not_detected,
2026-01-19T13:40:27.888716,face_not_detected,
2026-01-19T13:40:28.420832,face_not_detected,
2026-01-19T13:40:28.921616,face_not_detected,
2026-01-19T13:40:29.421226,face_not_detected,
2026-01-19T13:40:29.922866,face_not_detected,
2026-01-19T13:40:30.454808,face_not_detected,
2026-01-19T13:40:30.987580,face_not_detected,
2026-01-19T13:40:31.492850,focused,
2026-01-19T13:40:31.555311,face_not_detected,
2026-01-19T13:40:31.591028,focused,
2026-01-19T13:42:17.272434,eyes_away,
2026-01-19T13:42:17.805056,eyes_away,
2026-01-19T13:42:18.337171,eyes_away,
2026-01-19T13:42:18.839264,eyes_away,
2026-01-19T13:42:19.371425,eyes_away,
2026-01-19T13:42:19.902425,eyes_away,
2026-01-19T13:42:20.403130,eyes_away,
2026-01-19T13:42:20.937103,eyes_away,
2026-01-19T13:42:21.437854,eyes_away,
2026-01-19T13:42:21.968264,eyes_away,
2026-01-19T13:42:22.468963,eyes_away,
2026-01-19T13:42:22.969624,eyes_away,
2026-01-19T13:42:23.502127,eyes_away,
2026-01-19T13:42:24.002874,eyes_away,
2026-01-19T13:42:24.534007,eyes_away,
2026-01-19T13:42:25.034820,eyes_away,
2026-01-19T13:42:25.567043,eyes_away,
2026-01-19T13:42:26.068029,eyes_away,
2026-01-19T13:42:26.569295,eyes_away,
2026-01-19T13:42:27.099798,eyes_away,
